"EMPLOYER_STATE","JOB_CATEGORY","EMPLOYER_NAME","NUM_H1B"
"DC","Data Analyst","DCI Consulting Group, Inc.",2
"DC","Data Analyst","American Enterprise Institute for Public Policy Research",1
"DC","Data Analyst","Monex, Inc",1
"MD","Business Analyst","Tata Consultancy Services Limited",7
"MD","Business Analyst","TATA CONSULTANCY SERVICES LIMITED",4
"MD","Business Analyst","GCOM Software LLC",3
"MD","Business Analyst","Northstar Group, Inc",3
"MD","Business Analyst","Seven Stars Services LLC",2
"MD","Business Analyst","AgilePath, LLC",1
"MD","Business Analyst","INTERNATIONAL SOFTWARE SYSTEMS INC",1
"MD","Business Analyst","Infinite Computer Solutions, Inc.",1
"MD","Business Analyst","UPTREND TECHNOLOGIES LLC",1
"MD","Business Analyst","VARIYAS GLOBAL SOLUTIONS INC",1
"MD","Data Analyst","Johns Hopkins University",12
"MD","Data Analyst","Compubahn, Inc.",1
"MD","Data Analyst","Computer Packages, Inc. ",1
"MD","Data Analyst","OSS, Inc.",1
"MD","Data Analyst","Reveal Global Consulting, LLC",1
"MD","Data Analyst","Swingtech Consulting Inc",1
"VA","Business Analyst","Capital One, National Association",10
"VA","Business Analyst","AMAZON.COM SERVICES LLC",4
"VA","Business Analyst","Asta CRS, Inc.",4
"VA","Business Analyst","Sysintelli Inc.",3
"VA","Business Analyst","DataSync, Inc.",2
"VA","Business Analyst","IQLogg, Inc.",2
"VA","Business Analyst","22nd Century Technologies, Inc.",1
"VA","Business Analyst","AMAZON DEVELOPMENT CENTER U.S., INC. ",1
"VA","Business Analyst","ASTA CRS, INC.",1
"VA","Business Analyst","Acentra Health, LLC",1
"VA","Business Analyst","CW PROFESSIONAL SERVICES LLC",1
"VA","Business Analyst","Camino Financial, Inc. ",1
"VA","Business Analyst","Capital One Services, LLC",1
"VA","Business Analyst","Cvent, Inc.",1
"VA","Business Analyst","Identity and Access Solutions LLC",1
"VA","Business Analyst","Incept Data Solutions Inc",1
"VA","Business Analyst","InfoMarines Inc",1
"VA","Business Analyst","Infogravity LLC",1
"VA","Business Analyst","Infospan, Inc.",1
"VA","Business Analyst","Ingenious Heads LLC",1
"VA","Business Analyst","Isolve Technology Inc",1
"VA","Business Analyst","LORVENK TECHNOLOGIES LLC",1
"VA","Business Analyst","Monticello Consulting Group Inc",1
"VA","Business Analyst","RCube IT LLC",1
"VA","Business Analyst","REI Systems Inc.",1
"VA","Business Analyst","SKY SOLUTIONS LLC",1
"VA","Business Analyst","SOFTCOM, INC.",1
"VA","Business Analyst","SSA Tech, Inc.",1
"VA","Business Analyst","Smarton Solutions Inc",1
"VA","Business Analyst","Techligent Systems, Inc.",1
"VA","Business Analyst","The University of Virginia",1
"VA","Business Analyst","WIT Inc.",1
"VA","Data Analyst","Capital One Services, LLC",21
"VA","Data Analyst","Capital One, National Association",15
"VA","Data Analyst","SLS Solutions Inc",2
"VA","Data Analyst","Technova Systems Inc",2
"VA","Data Analyst","Tekorg Inc",2
"VA","Data Analyst","Virginia Department of Transportation",2
"VA","Data Analyst","Accentuate IT Solutions LLC",1
"VA","Data Analyst","DataSync, Inc.",1
"VA","Data Analyst","FEDPOINT SYSTEMS LLC",1
"VA","Data Analyst","ICF Macro, Inc.",1
"VA","Data Analyst","LORSHI SYSTEMS, LLC",1
"VA","Data Analyst","MHM Health Professionals LLC.",1
"VA","Data Analyst","Moxie IT Solutions",1
"VA","Data Analyst","Numero Data LLC",1
"VA","Data Analyst","Pentagon Federal Credit Union",1
"VA","Data Analyst","Sapphire Software Solutions, Inc.",1
"VA","Data Analyst","Tucker and Associates, PLLC",1
"VA","Data Analyst","comScore, Inc.",1
"VA","Data Analyst","iZeal, Inc.",1
